reference_time,is_anomaly,usage_end_time,cost,usage_amount,usage_unit,service_type
0.0,0,2023-12-07 09:00:00,0.0,17898953.0,bytes,Cloud Logging
1.0,0,2023-12-07 10:00:00,0.0,1689935.0,bytes,Cloud Logging
2.0,0,2023-12-07 11:00:00,0.0,896102.0,bytes,Cloud Logging
3.0,0,2023-12-07 12:00:00,0.0,892633.0,bytes,Cloud Logging
4.0,0,2023-12-07 13:00:00,0.0,971640.0,bytes,Cloud Logging
5.0,0,2023-12-07 14:00:00,0.0,886156.0,bytes,Cloud Logging
6.0,0,2023-12-07 15:00:00,0.0,914922.0,bytes,Cloud Logging
7.0,0,2023-12-07 16:00:00,0.0,878984.0,bytes,Cloud Logging
8.0,0,2023-12-07 17:00:00,0.0,894892.0,bytes,Cloud Logging
9.0,0,2023-12-07 18:00:00,0.0,870005.0,bytes,Cloud Logging
10.0,0,2023-12-07 19:00:00,0.0,877269.0,bytes,Cloud Logging
11.0,0,2023-12-07 20:00:00,0.0,877283.0,bytes,Cloud Logging
12.0,0,2023-12-07 21:00:00,0.0,883743.0,bytes,Cloud Logging
13.0,0,2023-12-07 22:00:00,0.0,890602.0,bytes,Cloud Logging
14.0,0,2023-12-07 23:00:00,0.0,869312.0,bytes,Cloud Logging
15.0,0,2023-12-08 00:00:00,0.0,870452.0,bytes,Cloud Logging
16.0,0,2023-12-08 01:00:00,0.0,880095.0,bytes,Cloud Logging
17.0,0,2023-12-08 02:00:00,0.0,878349.0,bytes,Cloud Logging
18.0,0,2023-12-08 03:00:00,0.0,883718.0,bytes,Cloud Logging
19.0,0,2023-12-08 04:00:00,0.0,879640.0,bytes,Cloud Logging
20.0,0,2023-12-08 05:00:00,0.0,895875.0,bytes,Cloud Logging
21.0,0,2023-12-08 06:00:00,0.0,859365.0,bytes,Cloud Logging
22.0,0,2023-12-08 07:00:00,0.0,875917.0,bytes,Cloud Logging
23.0,0,2023-12-08 08:00:00,0.0,869554.0,bytes,Cloud Logging
24.0,0,2023-12-08 09:00:00,0.0,3221952.0,bytes,Cloud Logging
25.0,0,2023-12-08 10:00:00,0.0,902253.0,bytes,Cloud Logging
26.0,0,2023-12-08 11:00:00,0.0,897953.0,bytes,Cloud Logging
27.0,0,2023-12-08 12:00:00,0.0,903259.0,bytes,Cloud Logging
28.0,0,2023-12-08 13:00:00,0.0,861729.0,bytes,Cloud Logging
29.0,0,2023-12-08 14:00:00,0.0,871265.0,bytes,Cloud Logging
30.0,0,2023-12-08 15:00:00,0.0,929663.0,bytes,Cloud Logging
31.0,0,2023-12-08 16:00:00,0.0,868609.0,bytes,Cloud Logging
32.0,0,2023-12-08 17:00:00,0.0,885392.0,bytes,Cloud Logging
33.0,0,2023-12-08 18:00:00,0.0,864331.0,bytes,Cloud Logging
34.0,0,2023-12-08 19:00:00,0.0,884279.0,bytes,Cloud Logging
35.0,0,2023-12-08 20:00:00,0.0,872335.0,bytes,Cloud Logging
36.0,0,2023-12-08 21:00:00,0.0,918029.0,bytes,Cloud Logging
37.0,0,2023-12-08 22:00:00,0.0,870711.0,bytes,Cloud Logging
38.0,0,2023-12-08 23:00:00,0.0,889475.0,bytes,Cloud Logging
39.0,0,2023-12-09 00:00:00,0.0,887846.0,bytes,Cloud Logging
40.0,0,2023-12-09 01:00:00,0.0,883889.0,bytes,Cloud Logging
41.0,0,2023-12-09 02:00:00,0.0,855603.0,bytes,Cloud Logging
42.0,0,2023-12-09 03:00:00,0.0,890024.0,bytes,Cloud Logging
43.0,0,2023-12-09 04:00:00,0.0,871542.0,bytes,Cloud Logging
44.0,0,2023-12-09 05:00:00,0.0,888869.0,bytes,Cloud Logging
45.0,0,2023-12-09 06:00:00,0.0,874574.0,bytes,Cloud Logging
46.0,0,2023-12-09 07:00:00,0.0,881099.0,bytes,Cloud Logging
47.0,0,2023-12-09 08:00:00,0.0,878299.0,bytes,Cloud Logging
48.0,0,2023-12-09 09:00:00,0.0,886027.0,bytes,Cloud Logging
49.0,0,2023-12-09 10:00:00,0.0,903178.0,bytes,Cloud Logging
50.0,0,2023-12-09 11:00:00,0.0,875425.0,bytes,Cloud Logging
51.0,0,2023-12-09 12:00:00,0.0,897545.0,bytes,Cloud Logging
52.0,0,2023-12-09 13:00:00,0.0,894274.0,bytes,Cloud Logging
53.0,0,2023-12-09 14:00:00,0.0,906367.0,bytes,Cloud Logging
54.0,0,2023-12-09 15:00:00,0.0,902924.0,bytes,Cloud Logging
55.0,0,2023-12-09 16:00:00,0.0,879835.0,bytes,Cloud Logging
56.0,0,2023-12-09 17:00:00,0.0,903172.0,bytes,Cloud Logging
57.0,0,2023-12-09 18:00:00,0.0,891379.0,bytes,Cloud Logging
58.0,0,2023-12-09 19:00:00,0.0,875214.0,bytes,Cloud Logging
59.0,0,2023-12-09 20:00:00,0.0,886660.0,bytes,Cloud Logging
60.0,0,2023-12-09 21:00:00,0.0,900276.0,bytes,Cloud Logging
61.0,0,2023-12-09 22:00:00,0.0,890277.0,bytes,Cloud Logging
62.0,0,2023-12-09 23:00:00,0.0,882141.0,bytes,Cloud Logging
63.0,0,2023-12-10 00:00:00,0.0,897432.0,bytes,Cloud Logging
64.0,0,2023-12-10 01:00:00,0.0,881657.0,bytes,Cloud Logging
65.0,0,2023-12-10 02:00:00,0.0,865161.0,bytes,Cloud Logging
66.0,0,2023-12-10 03:00:00,0.0,902486.0,bytes,Cloud Logging
67.0,0,2023-12-10 04:00:00,0.0,887990.0,bytes,Cloud Logging
68.0,0,2023-12-10 05:00:00,0.0,901017.0,bytes,Cloud Logging
69.0,0,2023-12-10 06:00:00,0.0,882205.0,bytes,Cloud Logging
70.0,0,2023-12-10 07:00:00,0.0,888841.0,bytes,Cloud Logging
71.0,0,2023-12-10 08:00:00,0.0,875792.0,bytes,Cloud Logging
72.0,0,2023-12-10 09:00:00,0.0,895618.0,bytes,Cloud Logging
73.0,0,2023-12-10 10:00:00,0.0,880952.0,bytes,Cloud Logging
74.0,0,2023-12-10 11:00:00,0.0,899200.0,bytes,Cloud Logging
75.0,0,2023-12-10 12:00:00,0.0,870455.0,bytes,Cloud Logging
76.0,0,2023-12-10 13:00:00,0.0,894211.0,bytes,Cloud Logging
77.0,0,2023-12-10 14:00:00,0.0,890365.0,bytes,Cloud Logging
78.0,0,2023-12-10 15:00:00,0.0,886501.0,bytes,Cloud Logging
79.0,0,2023-12-10 16:00:00,0.0,864113.0,bytes,Cloud Logging
80.0,0,2023-12-10 17:00:00,0.0,913305.0,bytes,Cloud Logging
81.0,0,2023-12-10 18:00:00,0.0,870226.0,bytes,Cloud Logging
82.0,0,2023-12-10 19:00:00,0.0,883896.0,bytes,Cloud Logging
83.0,0,2023-12-10 20:00:00,0.0,892878.0,bytes,Cloud Logging
84.0,0,2023-12-10 21:00:00,0.0,896020.0,bytes,Cloud Logging
85.0,0,2023-12-10 22:00:00,0.0,864099.0,bytes,Cloud Logging
86.0,0,2023-12-10 23:00:00,0.0,902451.0,bytes,Cloud Logging
87.0,0,2023-12-11 00:00:00,0.0,911644.0,bytes,Cloud Logging
88.0,0,2023-12-11 01:00:00,0.0,876050.0,bytes,Cloud Logging
89.0,0,2023-12-11 02:00:00,0.0,880744.0,bytes,Cloud Logging
90.0,0,2023-12-11 03:00:00,0.0,892105.0,bytes,Cloud Logging
91.0,0,2023-12-11 04:00:00,0.0,878596.0,bytes,Cloud Logging
92.0,0,2023-12-11 05:00:00,0.0,882834.0,bytes,Cloud Logging
93.0,0,2023-12-11 06:00:00,0.0,895586.0,bytes,Cloud Logging
